,ano_eleicao,nr_turno,nr_candidato,nm_urna_candidato,uf,votos,perc_votos
4910,2022,1,13,LULA,MG,5802571,48.29
4911,2022,1,12,CIRO GOMES,MG,310324,2.58
4912,2022,1,14,ROBERTO JEFFERSON,MG,7309,0.06
4913,2022,1,14,PADRE KELMON,MG,7309,0.06
4914,2022,1,30,FELIPE D AVILA,MG,98526,0.82
4915,2022,1,22,JAIR BOLSONARO,MG,5239264,43.6
4916,2022,1,44,SORAYA THRONICKE,MG,44109,0.37
4917,2022,1,80,LÉO PÉRICLES,MG,5241,0.04
4918,2022,1,16,VERA,MG,2612,0.02
4919,2022,1,15,SIMONE TEBET,MG,500658,4.17
4920,2022,1,21,SOFIA MANZANO,MS,371,0.02
4921,2022,1,27,CONSTITUINTE EYMAEL,MS,152,0.01
4922,2022,1,13,LULA,MS,588323,39.04
4923,2022,1,12,CIRO GOMES,MS,29314,1.95
4924,2022,1,14,ROBERTO JEFFERSON,MS,1057,0.07
4925,2022,1,14,PADRE KELMON,MS,1057,0.07
